device,arch,runtime,power_boundary,model,precision,lat_med_ms,lat_p95_ms,throughput_ips,power_W,energy_mJ_per_inf,params_M,peak_mem_MB
orin_nano,Orin,pytorch,board,ronin_resnet18,fp32,10.6896,10.9677,121.9,7.77,63.7207,4.635,31.4
orin_nano,Orin,pytorch,board,ronin_resnet18,fp16,11.3131,11.3924,107.9,7.2,66.7104,4.635,28.2
orin_nano,Orin,pytorch,board,ronin_resnet18,bf16,11.3054,11.4061,107.7,7.2,66.8187,4.635,28.2
orin_nano,Orin,pytorch,board,ronin_tcn,fp32,8.2053,8.2828,123.7,6.49,52.4929,0.54,5.9
orin_nano,Orin,pytorch,board,ronin_tcn,fp16,8.612,8.6638,117.6,6.26,53.2007,0.54,2.9
orin_nano,Orin,pytorch,board,ronin_tcn,bf16,8.5531,8.6086,118.6,6.26,52.7624,0.54,2.9
orin_nano,Orin,pytorch,board,ronin_lstm,fp32,3.3023,3.7452,351.4,6.37,18.1363,0.206,13.0
orin_nano,Orin,pytorch,board,ronin_lstm,fp16,3.2304,3.2573,357.7,6.29,17.5996,0.206,12.1
orin_nano,Orin,pytorch,board,ronin_lstm,bf16,95.4978,96.5173,10.5,5.98,569.4531,0.206,12.5
orin_nano,Orin,pytorch,board,imunet,fp32,13.7749,13.8704,80.4,6.49,80.781,3.662,28.6
orin_nano,Orin,pytorch,board,imunet,fp16,15.1011,15.2194,73.4,6.26,85.252,3.662,25.1
orin_nano,Orin,pytorch,board,imunet,bf16,14.8444,14.9261,74.8,6.26,83.69,3.662,25.1
orin_nano,Orin,pytorch,board,mobilenetv2,fp32,16.5812,16.6732,60.9,6.1,100.2256,2.183,18.7
orin_nano,Orin,pytorch,board,mobilenetv2,fp16,18.9628,19.0743,53.2,6.02,113.1241,2.183,18.5
orin_nano,Orin,pytorch,board,mobilenetv2,bf16,18.6573,18.7623,54.2,6.02,111.1219,2.183,18.5
orin_nano,Orin,pytorch,board,mnasnet,fp32,15.7841,15.8986,63.6,6.14,96.5973,2.979,21.9
orin_nano,Orin,pytorch,board,mnasnet,fp16,17.9463,18.0748,56.0,6.02,107.5342,2.979,21.7
orin_nano,Orin,pytorch,board,mnasnet,bf16,17.5642,17.674,57.4,6.06,105.5897,2.979,21.7
orin_nano,Orin,pytorch,board,efficientnet_b0,fp32,17.2936,17.3894,58.1,6.14,105.6344,3.232,23.0
orin_nano,Orin,pytorch,board,efficientnet_b0,fp16,19.3353,19.5001,52.0,6.02,115.7572,3.232,22.7
orin_nano,Orin,pytorch,board,efficientnet_b0,bf16,19.1293,19.3332,52.6,6.06,115.3016,3.232,22.7
orin_nano,Orin,pytorch,board,tlio_resnet,fp32,11.0514,11.4368,107.7,7.69,71.4022,5.425,34.6
orin_nano,Orin,pytorch,board,tlio_resnet,fp16,11.6016,11.7581,96.3,7.08,73.4882,5.425,31.3
orin_nano,Orin,pytorch,board,tlio_resnet,bf16,11.564,11.6392,96.9,7.0,72.2211,5.425,31.3
orin_nano,Orin,pytorch,board,tinyodom,fp32,6.2879,6.3727,161.7,6.1,37.7292,0.11,10.4
orin_nano,Orin,pytorch,board,tinyodom,fp16,6.2514,6.3122,162.0,6.06,37.4061,0.11,10.0
orin_nano,Orin,pytorch,board,tinyodom,bf16,6.2883,6.3443,161.8,6.06,37.4675,0.11,10.0
orin_nano,Orin,pytorch,board,eqnio,fp32,24.9728,25.1727,40.8,6.65,163.0479,5.23,33.8
orin_nano,Orin,pytorch,board,eqnio,fp16,25.6616,25.8263,39.8,6.41,161.1283,5.23,30.8
orin_nano,Orin,pytorch,board,eqnio,bf16,25.3424,25.4769,40.3,6.53,162.1661,5.23,30.8
