model,precision,ate_m,rte_m,n_seq
ronin_resnet18,fp32,0.9018,1.1095,53
ronin_resnet18,fp16,0.9008,1.1087,53
ronin_resnet18,bf16,0.9139,1.1217,53
imunet,fp32,0.9704,1.0649,53
imunet,fp16,0.9707,1.0658,53
imunet,bf16,0.9595,1.0495,53
mobilenetv2,fp32,0.9339,1.0692,53
mobilenetv2,fp16,0.9328,1.066,53
mobilenetv2,bf16,0.9423,1.0797,53
mnasnet,fp32,0.9039,1.1045,53
mnasnet,fp16,0.9033,1.1039,53
mnasnet,bf16,0.912,1.1286,53
efficientnet_b0,fp32,0.981,1.1953,53
efficientnet_b0,fp16,0.9826,1.2004,53
efficientnet_b0,bf16,1.0195,1.2576,53
tinyodom,fp32,1.2068,1.4256,53
tinyodom,fp16,1.2068,1.4238,53
tinyodom,bf16,1.2061,1.4299,53
ronin_lstm,fp32,1.2494,1.3743,53
ronin_lstm,fp16,1.2497,1.3746,53
ronin_lstm,bf16,1.2699,1.4009,53
ronin_tcn,fp32,1.2098,1.3412,53
ronin_tcn,fp16,1.2114,1.3431,53
ronin_tcn,bf16,1.2331,1.3716,53
