model,precision,ate_m,rte_m,n_seq
ronin_resnet18,fp32,0.902,1.1094,53
ronin_resnet18,fp16,0.9007,1.1086,53
ronin_resnet18,bf16,0.9139,1.1218,53
imunet,fp32,0.9704,1.0649,53
imunet,fp16,0.9707,1.0658,53
imunet,bf16,0.9595,1.0494,53
mobilenetv2,fp32,0.934,1.0694,53
mobilenetv2,fp16,0.9328,1.066,53
mobilenetv2,bf16,0.9422,1.0794,53
mnasnet,fp32,0.9039,1.1045,53
mnasnet,fp16,0.9032,1.1039,53
mnasnet,bf16,0.9121,1.1287,53
efficientnet_b0,fp32,0.981,1.1952,53
efficientnet_b0,fp16,0.9826,1.2004,53
efficientnet_b0,bf16,1.0195,1.2578,53
tinyodom,fp32,1.2068,1.4256,53
tinyodom,fp16,1.2068,1.4238,53
tinyodom,bf16,1.2061,1.4299,53
ronin_lstm,fp32,1.2494,1.3743,53
ronin_lstm,fp16,1.2496,1.3746,53
ronin_lstm,bf16,1.2701,1.4023,53
ronin_tcn,fp32,1.2097,1.3412,53
ronin_tcn,fp16,1.2114,1.3431,53
ronin_tcn,bf16,1.2331,1.3716,53
