device,arch,power_boundary,model,precision,idle_W,active_W,dynamic_W,throughput_ips,total_energy_mJ,dynamic_energy_mJ,dynamic_energy_std_mJ,runs,dur_s,infer_per_run,sm_MHz,temp_start_C,temp_end_C,power_mode,power_limit_W
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_resnet18,fp32,91.34,116.81,25.47,871.5,134.03,29.22,1.06,3,10.0,8716,180,35.0,44.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_resnet18,fp16,91.34,109.0,17.66,687.5,158.54,25.68,1.18,3,10.0,6875,180,35.0,45.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_resnet18,bf16,91.34,107.51,16.17,671.9,160.0,24.07,0.32,3,10.0,6720,180,35.0,46.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,tlio_resnet,fp32,90.97,110.02,19.05,785.3,140.09,24.25,0.42,3,10.0,7854,2422,46.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,tlio_resnet,fp16,90.97,108.4,17.43,635.5,170.58,27.42,0.24,3,10.0,6355,2422,46.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,tlio_resnet,bf16,90.97,108.6,17.63,626.4,173.38,28.14,0.23,3,10.0,6264,2422,46.0,48.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_lstm,fp32,92.4,108.17,15.77,778.1,139.01,20.26,0.15,3,10.0,7928,2422,47.0,48.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_lstm,fp16,92.4,108.22,15.82,795.9,135.98,19.88,0.3,3,10.0,8129,2422,47.0,48.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_lstm,bf16,92.4,107.96,15.56,228.6,472.29,68.06,0.4,3,10.0,2286,2422,47.0,48.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_tcn,fp32,92.62,103.57,10.95,734.0,141.11,14.92,0.07,3,10.0,7340,2422,47.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_tcn,fp16,92.62,103.9,11.28,719.2,144.45,15.68,0.05,3,10.0,7193,2422,47.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,ronin_tcn,bf16,92.62,103.75,11.14,706.4,146.87,15.76,0.04,3,10.0,7065,2422,47.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,tinyodom,fp32,92.14,104.19,12.05,1103.2,94.44,10.92,0.07,3,10.0,11033,2422,46.0,47.0,600.00,600.00
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,card,tinyodom,fp16,92.14,103.74,11.6,1022.2,101.48,11.35,0.06,3,10.0,10223,2422,46.0,47.0,600.00,600.00
