device,arch,power_boundary,model,precision,idle_W,active_W,dynamic_W,throughput_ips,total_energy_mJ,dynamic_energy_mJ,dynamic_energy_std_mJ,runs,dur_s,infer_per_run,sm_MHz,temp_start_C,temp_end_C,power_mode,power_limit_W
orin,Orin,board,ronin_resnet18,fp32,8.96,13.74,4.78,92.7,148.34,51.61,0.12,3,10.0,927,?,44.437,44.687,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_resnet18,fp16,8.96,13.04,4.08,75.8,171.99,53.8,2.85,3,10.0,759,?,44.437,44.906,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_resnet18,bf16,8.96,12.74,3.78,76.3,166.87,49.47,0.12,3,10.0,764,?,44.437,45.312,nvpmodel:0,nvpmodel:0
orin,Orin,board,tlio_resnet,fp32,8.96,13.61,4.65,83.6,162.92,55.64,2.09,3,10.0,836,?,45.062,45.468,nvpmodel:0,nvpmodel:0
orin,Orin,board,tlio_resnet,fp16,8.96,12.74,3.78,69.0,184.78,54.81,0.16,3,10.0,690,?,45.062,45.468,nvpmodel:0,nvpmodel:0
orin,Orin,board,tlio_resnet,bf16,8.96,12.77,3.81,69.8,182.98,54.59,0.69,3,10.0,699,?,45.062,45.687,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_lstm,fp32,8.93,14.55,5.62,774.5,18.79,7.26,0.02,3,10.0,7880,?,45.5,45.968,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_lstm,fp16,8.93,14.55,5.62,794.1,18.32,7.08,0.03,3,10.0,8073,?,45.5,46.437,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_lstm,bf16,8.93,12.74,3.81,20.8,611.63,183.02,0.13,3,10.0,209,?,45.5,46.343,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_tcn,fp32,8.93,12.51,3.58,90.6,138.01,39.51,2.82,3,10.0,907,?,46.0,45.875,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_tcn,fp16,8.93,12.61,3.68,87.0,144.92,42.28,2.2,3,10.0,870,?,46.0,46.25,nvpmodel:0,nvpmodel:0
orin,Orin,board,ronin_tcn,bf16,8.93,12.48,3.55,88.0,141.76,40.29,2.19,3,10.0,881,?,46.0,46.25,nvpmodel:0,nvpmodel:0
orin,Orin,board,tinyodom,fp32,8.93,12.34,3.41,117.9,104.66,28.93,0.21,3,10.0,1180,?,46.062,45.812,nvpmodel:0,nvpmodel:0
orin,Orin,board,tinyodom,fp16,8.93,12.34,3.41,106.4,116.03,32.08,0.06,3,10.0,1064,?,46.062,45.875,nvpmodel:0,nvpmodel:0
orin,Orin,board,tinyodom,bf16,8.93,12.34,3.41,104.6,117.93,32.58,0.05,3,10.0,1047,?,46.062,45.937,nvpmodel:0,nvpmodel:0
orin,Orin,board,imunet,fp32,8.93,11.84,2.91,63.8,185.59,45.58,0.13,3,10.0,638,?,46.093,46.0,nvpmodel:0,nvpmodel:0
orin,Orin,board,imunet,fp16,8.93,11.84,2.91,50.8,232.83,57.18,0.1,3,10.0,509,?,46.093,45.968,nvpmodel:0,nvpmodel:0
orin,Orin,board,imunet,bf16,8.93,11.84,2.91,51.8,228.34,56.07,0.12,3,10.0,519,?,46.093,45.968,nvpmodel:0,nvpmodel:0
orin,Orin,board,mobilenetv2,fp32,8.93,11.84,2.91,52.6,224.94,55.23,0.18,3,10.0,527,?,46.125,45.812,nvpmodel:0,nvpmodel:0
orin,Orin,board,mobilenetv2,fp16,8.93,11.84,2.91,39.9,296.74,72.86,0.2,3,10.0,399,?,46.125,45.656,nvpmodel:0,nvpmodel:0
orin,Orin,board,mobilenetv2,bf16,8.93,11.84,2.91,40.3,293.44,72.05,0.18,3,10.0,404,?,46.125,45.781,nvpmodel:0,nvpmodel:0
orin,Orin,board,mnasnet,fp32,8.93,11.84,2.91,52.4,225.96,55.48,0.17,3,10.0,524,?,45.781,45.468,nvpmodel:0,nvpmodel:0
orin,Orin,board,mnasnet,fp16,8.93,12.3,3.38,40.0,307.83,84.46,16.65,3,10.0,400,?,45.781,46.0,nvpmodel:0,nvpmodel:0
orin,Orin,board,mnasnet,bf16,8.93,11.84,2.91,40.0,295.85,72.65,0.22,3,10.0,401,?,45.781,45.843,nvpmodel:0,nvpmodel:0
orin,Orin,board,efficientnet_b0,fp32,8.93,11.84,2.91,48.0,246.69,60.6,0.17,3,10.0,480,?,45.625,45.687,nvpmodel:0,nvpmodel:0
orin,Orin,board,efficientnet_b0,fp16,8.93,11.84,2.91,37.9,312.26,76.67,0.22,3,10.0,379,?,45.625,45.687,nvpmodel:0,nvpmodel:0
orin,Orin,board,efficientnet_b0,bf16,8.93,11.84,2.91,37.8,313.5,77.0,0.18,3,10.0,378,?,45.625,45.875,nvpmodel:0,nvpmodel:0
orin,Orin,board,eqnio,fp32,8.93,12.34,3.41,31.9,386.3,106.69,0.25,3,10.0,320,?,45.562,45.781,nvpmodel:0,nvpmodel:0
orin,Orin,board,eqnio,fp16,8.93,12.24,3.31,29.3,418.03,112.98,0.05,3,10.0,293,?,45.562,45.687,nvpmodel:0,nvpmodel:0
orin,Orin,board,eqnio,bf16,8.93,12.24,3.31,29.1,421.09,113.84,0.4,3,10.0,291,?,45.562,45.593,nvpmodel:0,nvpmodel:0
