device,arch,power_boundary,model,precision,idle_W,active_W,dynamic_W,throughput_ips,total_energy_mJ,dynamic_energy_mJ,dynamic_energy_std_mJ,runs,dur_s,infer_per_run,sm_MHz,temp_start_C,temp_end_C,power_mode,power_limit_W
orin_nano,Orin,board,ronin_resnet18,fp32,4.95,7.72,2.76,119.9,64.35,23.04,0.41,3,10.0,1200,?,47.625,49.5,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_resnet18,fp16,4.95,7.08,2.12,106.5,66.44,19.94,0.1,3,10.0,1066,?,47.625,50.156,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_resnet18,bf16,4.95,7.13,2.18,105.7,67.46,20.59,0.24,3,10.0,1058,?,47.625,50.25,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tlio_resnet,fp32,4.89,7.62,2.74,108.9,70.03,25.14,0.17,3,10.0,1089,?,50.062,50.093,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tlio_resnet,fp16,4.89,7.04,2.15,96.1,73.27,22.38,0.09,3,10.0,961,?,50.062,50.562,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tlio_resnet,bf16,4.89,7.0,2.11,95.8,73.09,22.05,0.08,3,10.0,958,?,50.062,50.593,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_lstm,fp32,4.9,6.37,1.47,351.3,18.14,4.19,0.0,3,10.0,3649,?,50.25,49.968,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_lstm,fp16,4.9,6.29,1.39,357.8,17.6,3.9,0.0,3,10.0,3709,?,50.25,49.812,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_lstm,bf16,4.9,5.98,1.08,11.2,533.71,96.45,0.15,3,10.0,113,?,50.25,49.531,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_tcn,fp32,4.89,6.46,1.58,128.5,50.33,12.28,0.16,3,10.0,1285,?,49.187,49.281,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_tcn,fp16,4.89,6.27,1.38,121.2,51.74,11.4,0.18,3,10.0,1212,?,49.187,49.312,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,ronin_tcn,bf16,4.89,6.27,1.38,122.3,51.25,11.29,0.15,3,10.0,1224,?,49.187,49.343,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tinyodom,fp32,4.89,6.09,1.2,164.2,37.08,7.31,0.17,3,10.0,1642,?,49.468,49.312,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tinyodom,fp16,4.89,6.02,1.13,164.4,36.63,6.9,0.02,3,10.0,1645,?,49.468,49.531,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,tinyodom,bf16,4.89,6.05,1.16,163.4,37.01,7.1,0.11,3,10.0,1635,?,49.468,49.468,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,imunet,fp32,4.89,6.48,1.59,82.3,78.73,19.33,0.27,3,10.0,823,?,49.5,49.312,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,imunet,fp16,4.89,6.26,1.37,74.0,84.55,18.49,0.06,3,10.0,740,?,49.5,49.781,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,imunet,bf16,4.89,6.28,1.39,75.5,83.25,18.47,0.22,3,10.0,755,?,49.5,49.375,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mobilenetv2,fp32,4.89,6.06,1.17,63.3,95.82,18.54,0.05,3,10.0,633,?,49.281,49.0,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mobilenetv2,fp16,4.89,6.02,1.13,55.0,109.55,20.63,0.03,3,10.0,550,?,49.281,49.156,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mobilenetv2,bf16,4.89,6.02,1.13,56.9,105.82,19.93,0.04,3,10.0,570,?,49.281,49.281,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mnasnet,fp32,4.89,6.14,1.25,63.3,97.03,19.77,0.03,3,10.0,633,?,49.0,49.031,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mnasnet,fp16,4.89,6.02,1.13,55.2,109.12,20.55,0.05,3,10.0,552,?,49.0,49.343,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,mnasnet,bf16,4.89,6.04,1.15,56.9,106.07,20.16,0.27,3,10.0,570,?,49.0,49.375,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,efficientnet_b0,fp32,4.89,6.15,1.26,58.6,104.95,21.56,0.36,3,10.0,587,?,49.0,49.218,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,efficientnet_b0,fp16,4.89,6.05,1.16,52.2,115.94,22.24,0.34,3,10.0,522,?,49.0,49.156,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,efficientnet_b0,bf16,4.89,6.06,1.17,52.7,115.08,22.27,0.1,3,10.0,527,?,49.0,49.437,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,eqnio,fp32,4.89,6.66,1.77,40.6,163.95,43.62,1.02,3,10.0,407,?,49.062,49.218,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,eqnio,fp16,4.89,6.4,1.51,39.4,162.35,38.35,0.4,3,10.0,395,?,49.062,49.312,nvpmodel:0,nvpmodel:0
orin_nano,Orin,board,eqnio,bf16,4.89,6.52,1.63,39.9,163.14,40.78,0.52,3,10.0,400,?,49.062,49.343,nvpmodel:0,nvpmodel:0
