device,arch,runtime,power_boundary,model,precision,lat_med_ms,lat_p95_ms,throughput_ips,power_W,energy_mJ_per_inf,params_M,peak_mem_MB
orin,Orin,pytorch,board,ronin_resnet18,fp32,10.865,10.9163,93.3,4.14,44.3613,4.635,30.5
orin,Orin,pytorch,board,ronin_resnet18,fp16,13.1703,13.2555,76.7,3.93,51.2184,4.635,27.1
orin,Orin,pytorch,board,ronin_resnet18,bf16,13.1592,13.3539,76.3,4.03,52.8276,4.635,27.1
orin,Orin,pytorch,board,ronin_tcn,fp32,11.093,11.6692,91.3,3.93,43.0452,0.54,5.9
orin,Orin,pytorch,board,ronin_tcn,fp16,11.5694,11.6508,86.9,3.93,45.2513,0.54,2.9
orin,Orin,pytorch,board,ronin_tcn,bf16,11.4749,11.5424,88.2,3.93,44.5628,0.54,2.9
orin,Orin,pytorch,board,ronin_lstm,fp32,1.8827,2.398,775.6,4.14,5.3367,0.206,11.9
orin,Orin,pytorch,board,ronin_lstm,fp16,1.8101,1.8325,787.7,4.24,5.3828,0.206,11.1
orin,Orin,pytorch,board,ronin_lstm,bf16,48.1515,48.5046,20.9,3.93,188.3146,0.206,11.4
orin,Orin,pytorch,board,imunet,fp32,15.8362,16.3862,64.0,3.83,59.8886,3.662,24.4
orin,Orin,pytorch,board,imunet,fp16,19.5766,19.796,51.5,3.93,76.3792,3.662,24.1
orin,Orin,pytorch,board,imunet,bf16,19.1781,19.2843,52.7,3.83,72.7136,3.662,24.1
orin,Orin,pytorch,board,mobilenetv2,fp32,19.2592,19.3343,52.5,3.83,73.0197,2.183,17.7
orin,Orin,pytorch,board,mobilenetv2,fp16,24.9692,25.0744,40.3,3.83,95.1422,2.183,17.5
orin,Orin,pytorch,board,mobilenetv2,bf16,25.0866,25.2074,40.2,3.83,95.3801,2.183,17.5
orin,Orin,pytorch,board,mnasnet,fp32,19.473,19.8856,51.4,3.83,74.4639,2.979,20.9
orin,Orin,pytorch,board,mnasnet,fp16,25.0732,25.4289,40.2,3.83,95.2941,2.979,20.7
orin,Orin,pytorch,board,mnasnet,bf16,25.0798,25.3963,40.1,3.83,95.4267,2.979,20.7
orin,Orin,pytorch,board,efficientnet_b0,fp32,21.3525,21.455,47.2,3.83,81.1285,3.232,21.9
orin,Orin,pytorch,board,efficientnet_b0,fp16,27.0097,27.1383,37.3,3.83,102.8131,3.232,21.7
orin,Orin,pytorch,board,efficientnet_b0,bf16,27.119,27.2436,37.2,3.83,103.093,3.232,21.7
orin,Orin,pytorch,board,tlio_resnet,fp32,11.9629,12.0217,84.5,4.54,53.763,5.425,33.6
orin,Orin,pytorch,board,tlio_resnet,fp16,14.4471,14.5262,69.9,4.03,57.6915,5.425,30.3
orin,Orin,pytorch,board,tlio_resnet,bf16,14.4388,14.5191,69.9,4.34,62.1139,5.425,30.3
orin,Orin,pytorch,board,tinyodom,fp32,8.4358,8.4857,120.2,3.93,32.7066,0.11,9.3
orin,Orin,pytorch,board,tinyodom,fp16,9.4148,9.4637,107.7,3.93,36.4883,0.11,9.0
orin,Orin,pytorch,board,tinyodom,bf16,9.3949,9.4434,108.0,3.94,36.4553,0.11,9.0
orin,Orin,pytorch,board,eqnio,fp32,31.937,33.1917,31.5,4.04,128.0245,5.23,32.9
orin,Orin,pytorch,board,eqnio,fp16,34.5233,34.7508,29.1,4.24,145.9416,5.23,29.7
orin,Orin,pytorch,board,eqnio,bf16,34.5766,34.8074,29.0,4.19,144.386,5.23,29.7
