device,arch,runtime,power_boundary,model,precision,lat_med_ms,lat_p95_ms,throughput_ips,power_W,energy_mJ_per_inf,params_M,peak_mem_MB
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_resnet18,fp32,1.1942,1.2586,861.3,112.68,130.8162,4.635,55.4
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_resnet18,fp16,1.5022,1.545,680.5,110.67,162.6253,4.635,52.2
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_resnet18,bf16,1.5136,1.5586,673.5,111.62,165.7426,4.635,52.2
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_tcn,fp32,1.4228,1.4607,709.4,105.66,148.9401,0.54,5.8
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_tcn,fp16,1.4543,1.5178,706.5,106.53,150.7905,0.54,2.9
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_tcn,bf16,1.4711,1.5421,703.6,107.06,152.158,0.54,2.9
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_lstm,fp32,1.4726,1.4861,731.5,111.88,152.9558,0.206,62.1
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_lstm,fp16,1.4265,1.4391,772.5,111.38,144.1872,0.206,61.3
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,ronin_lstm,bf16,4.3963,4.4342,227.9,106.19,465.9959,0.206,61.5
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,imunet,fp32,1.8038,1.854,569.3,102.95,180.8227,3.662,48.6
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,imunet,fp16,2.1673,2.2326,471.7,101.38,214.9287,3.662,48.3
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,imunet,bf16,2.1114,2.1481,483.1,101.77,210.6537,3.662,48.3
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mobilenetv2,fp32,2.1811,2.2189,464.6,100.73,216.7908,2.183,42.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mobilenetv2,fp16,2.745,2.8071,370.7,100.33,270.6818,2.183,42.5
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mobilenetv2,bf16,2.5969,2.6614,391.1,101.28,258.9636,2.183,42.5
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mnasnet,fp32,2.3143,2.3493,462.7,101.65,219.6896,2.979,45.9
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mnasnet,fp16,2.7039,2.7715,371.2,100.81,271.5447,2.979,45.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,mnasnet,bf16,2.6049,2.7123,387.2,101.51,262.1445,2.979,45.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,efficientnet_b0,fp32,2.2835,2.4719,440.6,102.47,232.5568,3.232,47.0
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,efficientnet_b0,fp16,2.8414,2.9118,358.1,101.56,283.6467,3.232,46.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,efficientnet_b0,bf16,2.7311,2.7846,369.3,102.31,277.0612,3.232,46.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tlio_resnet,fp32,1.3268,1.414,775.0,110.19,142.1771,5.425,58.6
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tlio_resnet,fp16,1.6397,1.7037,620.2,107.74,173.7104,5.425,55.3
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tlio_resnet,bf16,1.6567,1.7467,610.4,108.01,176.9513,5.425,55.3
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tinyodom,fp32,0.9397,0.9725,1100.7,104.22,94.6863,0.11,34.5
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tinyodom,fp16,1.0207,1.071,1035.0,103.65,100.1445,0.11,34.0
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,tinyodom,bf16,1.0122,1.0523,1013.9,103.61,102.1852,0.11,34.0
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,eqnio,fp32,3.7751,3.8211,266.0,105.28,395.7929,5.23,57.8
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,eqnio,fp16,4.1328,4.1834,240.6,103.97,432.1116,5.23,45.7
blackwell,NVIDIA RTX PRO 6000 Blackwell Server Edition,pytorch,card,eqnio,bf16,4.1807,4.3587,242.4,104.88,432.6464,5.23,54.8
