family,n_family_members,k_shot,held_model,calib_models,MAPE,Median_APE
CNN,2,0,ronin_resnet18,none,28.7,30.7
CNN,2,0,tlio_resnet,none,26.0,24.6
CNN,2,1,ronin_resnet18,tlio_resnet,16.3,18.7
CNN,2,1,tlio_resnet,ronin_resnet18,13.9,14.5
TCN,1,0,ronin_tcn,none,14.0,8.7
TCN-NAS,1,0,tinyodom,none,53.3,49.2
equiv,1,0,eqnio,none,47.4,49.5
mobile,4,0,imunet,none,17.2,17.0
mobile,4,0,mobilenetv2,none,19.6,19.2
mobile,4,0,mnasnet,none,23.9,24.0
mobile,4,0,efficientnet_b0,none,16.0,17.7
mobile,4,1,imunet,mobilenetv2,13.3,13.2
mobile,4,1,mobilenetv2,imunet,17.4,17.0
mobile,4,1,mnasnet,imunet,21.4,21.6
mobile,4,1,efficientnet_b0,imunet,13.8,15.5
mobile,4,2,imunet,"mobilenetv2,mnasnet",9.4,9.2
mobile,4,2,mobilenetv2,"imunet,mnasnet",14.3,13.9
mobile,4,2,mnasnet,"imunet,mobilenetv2",19.0,19.2
mobile,4,2,efficientnet_b0,"imunet,mobilenetv2",11.4,12.6
